consumer,resource
Pachygrapsus_transversus,Gibbula_umbilicalis
Coryphoblennius_galerita,Gibbula_umbilicalis
Pachygrapsus_transversus,Coryphoblennius_galerita
Coryphoblennius_galerita,Coryphoblennius_galerita
Gammaridae,Gammaridae
Palaemon_elegans,Gammaridae
Zooplankton,Zooplankton
Gammaridae,Zooplankton
Palaemon_elegans,Zooplankton
Copepoda,Zooplankton
Insecta,Zooplankton
Pachygrapsus_transversus,Palaemon_elegans
Coryphoblennius_galerita,Palaemon_elegans
Palaemon_elegans,Palaemon_elegans
Pachygrapsus_transversus,Pachygrapsus_transversus
Pachygrapsus_transversus,Gibbula_pennanti
Coryphoblennius_galerita,Gibbula_pennanti
Palaemon_elegans,Copepoda
Gammaridae,Polychaeta
Palaemon_elegans,Polychaeta
Polychaeta,Polychaeta
Insecta,Insecta
