consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,3
Polychaeta,class,NA,0.0352,marine,2
Pholoe_minuta,species,NA,2e-4,marine,2
Eteone_longa,species,NA,0.0066,marine,2
Eteone_sp.,genus,NA,0.0107,marine,2
Fabricia_stellaris,species,NA,2e-4,marine,2
Littorina_littorea,species,NA,2.3908,marine,2
Littorina_obtusata,species,NA,0.1206,marine,2
Littorina_saxatilis,species,NA,0.0623,marine,2
Testudinalia_testudinalis,species,NA,0.3799,marine,2
Mytilus_sp.,genus,NA,1.6125,marine,2
Gammarus_oceanicus,species,NA,0.1503,marine,3
Cancer_irroratus,species,NA,79.893,marine,2
Strongylocentrotus_droebachiensis,species,NA,1.6068,marine,2
Polychaeta,class,NA,0.0352,marine,3
Eteone_longa,species,NA,0.0066,marine,3
Eteone_sp.,genus,NA,0.0107,marine,3
Mytilus_sp.,genus,NA,1.6125,marine,3
Aulactinia_stella,species,NA,0.2574,marine,3
Aulactinia_stella,species,NA,0.2574,marine,2
