consumer,resource
Polychaeta,Polychaeta
Polychaeta,Alitta_virens
Alitta_virens,Alitta_virens
Polychaeta,Zooplankton
Hediste_diversicolor,Zooplankton
Zooplankton,Zooplankton
Oligochaeta,Zooplankton
Mytilus_sp.,Zooplankton
Gammarus_oceanicus,Zooplankton
Oligochaeta,Oligochaeta
Polychaeta,Hediste_diversicolor
Alitta_virens,Hediste_diversicolor
Hediste_diversicolor,Hediste_diversicolor
Polychaeta,Gammarus_oceanicus
Alitta_virens,Gammarus_oceanicus
Hediste_diversicolor,Gammarus_oceanicus
Polychaeta,Nematoda
Nematoda,Nematoda
