consumer,resource,NA,NA,NA,NA
Alitta_virens,species,NA,0.18,marine,2
Zooplankton,NA,NA,0.001,marine,3
Oligochaeta,NA,NA,2e-4,marine,2
Hediste_diversicolor,species,NA,0.0138,marine,2
Gammarus_oceanicus,species,NA,0.1009,marine,2
Nematoda,NA,NA,0.01,marine,2
Alitta_virens,species,NA,0.18,marine,2
Alitta_virens,species,NA,0.18,marine,3
Hediste_diversicolor,species,NA,0.0138,marine,3
Zooplankton,NA,NA,0.001,marine,3
Oligochaeta,NA,NA,2e-4,marine,3
Mytilus_sp.,genus,NA,1.0438,marine,3
Gammarus_oceanicus,species,NA,0.1009,marine,3
Sertulariidae,family,NA,0.1014,marine,3
Oligochaeta,NA,NA,2e-4,marine,2
Hediste_diversicolor,species,NA,0.0138,marine,2
Nematoda,NA,NA,0.01,marine,2
