consumer,resource
Priapulida,Zooplankton
Ammotheidae,Zooplankton
Zooplankton,Zooplankton
Gobius_sp.,Zooplankton
Cardiidae,Zooplankton
Tanaidacea,Zooplankton
Isopoda,Zooplankton
Gammaridae,Zooplankton
Copepoda,Zooplankton
Polychaeta,Zooplankton
Oligochaeta,Zooplankton
Tanaidacea,Batzella_inops
Gobius_sp.,Nematoda
Nematoda,Nematoda
Coryphoblennius_galerita,Nematoda
Priapulida,Polychaeta
Gobius_sp.,Polychaeta
Nematoda,Polychaeta
Polychaeta,Polychaeta
Gobius_sp.,Oligochaeta
Nematoda,Oligochaeta
Oligochaeta,Oligochaeta
Gobius_sp.,Acanthochitona_crinita
Pachygrapsus_transversus,Acanthochitona_crinita
Coryphoblennius_galerita,Acanthochitona_crinita
Gobius_sp.,Tanaidacea
Gobius_sp.,Isopoda
Gammaridae,Gammaridae
Caprella_sp.,Gammaridae
Gammaridae,Caprella_sp.
Caprella_sp.,Caprella_sp.
Pachygrapsus_transversus,Pachygrapsus_transversus
Gobius_sp.,Copepoda
Pachygrapsus_transversus,Coryphoblennius_galerita
Coryphoblennius_galerita,Coryphoblennius_galerita
Gobius_sp.,Gobius_sp.
Coryphoblennius_galerita,Gobius_sp.
