consumer,resource,NA,NA,NA,NA
Gibbula_umbilicalis,species,NA,0.022,marine,2
Omalogyra_atomus,species,NA,3e-4,marine,2
Copepoda,NA,NA,0.001,marine,3
Gammaridae,family,NA,2e-4,marine,3
Stenothoidae,family,NA,0.0016,marine,3
Zooplankton,NA,NA,0.001,marine,3
Zooplankton,NA,NA,0.001,marine,2
Lepadogaster_zebrina,species,NA,0.01,marine,3
Lipophrys_pholis,species,NA,0.22,marine,3
Gibbula_pennanti,species,NA,0.34,marine,2
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.001,marine,2
Insecta,class,NA,3e-4,marine,3
Lipophrys_pholis,species,NA,0.22,marine,2
Lepadogaster_zebrina,species,NA,0.01,marine,2
Lepadogaster_zebrina,species,NA,0.01,marine,3
Lipophrys_pholis,species,NA,0.22,marine,3
Gammaridae,family,NA,2e-4,marine,3
Zooplankton,NA,NA,0.001,marine,3
Stenothoidae,family,NA,0.0016,marine,3
Lophozozymus_incisus,species,NA,0.385,marine,2
Copepoda,NA,NA,0.001,marine,3
Polychaeta,class,NA,0.001,marine,3
Nematoda,NA,NA,0.01,marine,2
Stenothoidae,family,NA,0.0016,marine,2
Polychaeta,class,NA,0.001,marine,2
Insecta,class,NA,3e-4,marine,3
