consumer,resource,NA,NA,NA,NA
Balanus_sp.,genus,NA,0.01,marine,2
Insecta,class,NA,7e-4,marine,3
Zooplankton,NA,NA,0.001,marine,3
Liza_ramada,species,NA,0.1,marine,3
Lipophrys_pholis,species,NA,0.13,marine,3
Ophiuroidea,class,NA,0.0055,marine,2
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.002,marine,2
Oligochaeta,NA,NA,0.0018,marine,2
Acanthochitona_crinita,species,NA,0.014,marine,2
Lepidochitona_cinerea,species,NA,0.187,marine,2
Leptochiton_algesirensis,species,NA,0.0012,marine,2
Gibbula_umbilicalis,species,NA,0.145,marine,2
Rissoidae,family,NA,0.0015,marine,2
Nucella_sp.,genus,NA,0.0094,marine,2
Omalogyra_atomus,species,NA,5e-4,marine,2
Barleeia_sp.,genus,NA,0.0023,marine,2
Musculus_costulatus,species,NA,0.0062,marine,2
Mytilus_galloprovincialis,species,NA,0.203,marine,2
Cardiidae,family,NA,0.0012,marine,2
Tanaidacea,NA,NA,0.0013,marine,3
Sphaeromatidae,family,NA,0.0056,marine,2
Ampithoidae,family,NA,0.0017,marine,3
Gammaridae,family,NA,4e-4,marine,3
Stenothoidae,family,NA,4e-4,marine,3
Lysianassidae,family,NA,3e-4,marine,3
Palaemon_longirostris,species,NA,0.098,marine,3
Palaemon_elegans,species,NA,1.75,marine,3
Gobius_paganellus,species,NA,0.17,marine,3
Eriphia_verrucosa,species,NA,0.2,marine,2
Lophozozymus_incisus,species,NA,0.45,marine,2
Pirimela_denticulata,species,NA,0.0085,marine,2
Paracentrotus_lividus,species,NA,0.243,marine,2
Copepoda,NA,NA,0.001,marine,3
Nassariidae,family,NA,0.0097,marine,2
Lepadogaster_lepadogaster,species,NA,0.35,marine,3
Angulus_tenuis,species,NA,0.0011,marine,3
Solecurtus_strigilatus,species,NA,0.028,marine,3
Turtonia_minuta,species,NA,0.0019,marine,3
Turridae,family,NA,0.0042,marine,2
Anemonia_sulcata,species,NA,69.2,marine,2
