consumer,resource
Palaemon_longirostris,Insecta
Gobius_paganellus,Insecta
Atherina_boyeri,Insecta
Polychaeta,Insecta
Insecta,Insecta
Insecta,Zooplankton
Zooplankton,Zooplankton
Gobius_paganellus,Zooplankton
Palaemon_longirostris,Zooplankton
Sagartia_elegans,Zooplankton
Ophiuroidea,Zooplankton
Nematoda,Zooplankton
Polychaeta,Zooplankton
Oligochaeta,Zooplankton
Atherina_boyeri,Zooplankton
Musculus_costulatus,Zooplankton
Mytilus_galloprovincialis,Zooplankton
Modiolula_phaseolina,Zooplankton
Cardiidae,Zooplankton
Turtonia_minuta,Zooplankton
Tanaidacea,Zooplankton
Palaemon_longirostris,Ophiuroidea
Palaemon_elegans,Ophiuroidea
Gobius_paganellus,Ophiuroidea
Asterina_gibbosa,Ophiuroidea
Eriphia_verrucosa,Paracentrotus_lividus
Nassariidae,Gobius_paganellus
Gobius_paganellus,Gobius_paganellus
Anemonia_sulcata,Gobius_paganellus
Nematoda,Nematoda
Atherina_boyeri,Nematoda
Turridae,Polychaeta
Asterina_gibbosa,Polychaeta
Ophiuroidea,Polychaeta
Atherina_boyeri,Polychaeta
Polychaeta,Polychaeta
Palaemon_longirostris,Polychaeta
Gobius_paganellus,Polychaeta
Nematoda,Oligochaeta
Oligochaeta,Oligochaeta
Gobius_paganellus,Acanthochitona_crinita
Eriphia_verrucosa,Acanthochitona_crinita
Pachygrapsus_marmoratus,Acanthochitona_crinita
Gobius_paganellus,Lepidochitona_cinerea
Eriphia_verrucosa,Lepidochitona_cinerea
Pachygrapsus_marmoratus,Lepidochitona_cinerea
Gobius_paganellus,Gibbula_umbilicalis
Eriphia_verrucosa,Gibbula_umbilicalis
Anemonia_sulcata,Gibbula_umbilicalis
Pachygrapsus_marmoratus,Gibbula_umbilicalis
Gobius_paganellus,Rissoidae
Anemonia_sulcata,Nassariidae
Gobius_paganellus,Omalogyra_atomus
Anemonia_sulcata,Aplysia_punctata
Palaemon_elegans,Atherina_boyeri
Atherina_boyeri,Atherina_boyeri
Eriphia_verrucosa,Mytilus_galloprovincialis
Anemonia_sulcata,Mytilus_galloprovincialis
Pachygrapsus_marmoratus,Mytilus_galloprovincialis
Gobius_paganellus,Cardiidae
Palaemon_longirostris,Tanaidacea
Palaemon_elegans,Tanaidacea
Gobius_paganellus,Tanaidacea
Atherina_boyeri,Tanaidacea
Palaemon_longirostris,Sphaeromatidae
Palaemon_elegans,Sphaeromatidae
Gobius_paganellus,Sphaeromatidae
Palaemon_longirostris,Palaemon_longirostris
Palaemon_elegans,Palaemon_longirostris
Gobius_paganellus,Palaemon_longirostris
Anemonia_sulcata,Palaemon_longirostris
Palaemon_elegans,Palaemon_elegans
Anemonia_sulcata,Palaemon_elegans
Eriphia_verrucosa,Eriphia_verrucosa
Anemonia_sulcata,Eriphia_verrucosa
Anemonia_sulcata,Pachygrapsus_marmoratus
Pachygrapsus_marmoratus,Pachygrapsus_marmoratus
