consumer,resource,NA,NA,NA
Insecta,class,NA,7e-4,marine
Zooplankton,NA,NA,0.001,marine
Ophiuroidea,class,NA,0.0012,marine
Paracentrotus_lividus,species,NA,0.1,marine
Gobius_paganellus,species,NA,0.14,marine
Nematoda,NA,NA,0.01,marine
Polychaeta,class,NA,5e-4,marine
Oligochaeta,NA,NA,0.0016,marine
Acanthochitona_crinita,species,NA,0.064,marine
Lepidochitona_cinerea,species,NA,0.141,marine
Gibbula_umbilicalis,species,NA,0.199,marine
Rissoidae,family,NA,0.001,marine
Nassariidae,family,NA,1.78,marine
Omalogyra_atomus,species,NA,5e-4,marine
Aplysia_punctata,species,NA,0.4,marine
Atherina_boyeri,species,NA,0.01,marine
Mytilus_galloprovincialis,species,NA,0.21,marine
Cardiidae,family,NA,0.0078,marine
Tanaidacea,NA,NA,0.0046,marine
Sphaeromatidae,family,NA,0.036,marine
Palaemon_longirostris,species,NA,0.101,marine
Palaemon_elegans,species,NA,0.55,marine
Eriphia_verrucosa,species,NA,15,marine
Pachygrapsus_marmoratus,species,NA,15.82,marine
Palaemon_longirostris,species,NA,0.101,marine
Gobius_paganellus,species,NA,0.14,marine
Atherina_boyeri,species,NA,0.01,marine
Polychaeta,class,NA,5e-4,marine
Insecta,class,NA,7e-4,marine
Zooplankton,NA,NA,0.001,marine
Sagartia_elegans,species,NA,0.15,marine
Ophiuroidea,class,NA,0.0012,marine
Nematoda,NA,NA,0.01,marine
Oligochaeta,NA,NA,0.0016,marine
Musculus_costulatus,species,NA,7e-4,marine
Mytilus_galloprovincialis,species,NA,0.21,marine
Modiolula_phaseolina,species,NA,0.009,marine
Cardiidae,family,NA,0.0078,marine
Turtonia_minuta,species,NA,0.0014,marine
Tanaidacea,NA,NA,0.0046,marine
Palaemon_elegans,species,NA,0.55,marine
Asterina_gibbosa,species,NA,0.01,marine
Eriphia_verrucosa,species,NA,15,marine
Nassariidae,family,NA,1.78,marine
Anemonia_sulcata,species,NA,40,marine
Turridae,family,NA,5e-4,marine
Pachygrapsus_marmoratus,species,NA,15.82,marine
