consumer,resource
fish_fry,fish_eggs
Tropocyclops_prasinus,Leptodora_kindtii
Mesocyclops_edax,Leptodora_kindtii
Tropocyclops_prasinus,copepod_nauplii
Cyclops_vernalis,Leptodora_kindtii
Mesocyclops_edax,copepod_nauplii
Cyclops_vernalis,copepod_nauplii
Tropocyclops_prasinus,Alona_quadrangularis
Mesocyclops_edax,Alona_quadrangularis
Tropocyclops_prasinus,Cyclops_vernalis
Salvelinus_fontinalis,Salmo_rutta
Mesocyclops_edax,Cyclops_vernalis
Tropocyclops_prasinus,Diaptomus_minutus
Salvelinus_fontinalis,Catostomus_commersoni
Cyclops_vernalis,Alona_quadrangularis
Tropocyclops_prasinus,Mesocyclops_edax
Mesocyclops_edax,Diaptomus_minutus
Salvelinus_fontinalis,Salvelinus_fontinalis
Cyclops_vernalis,Cyclops_vernalis
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Salmo_rutta,Salmo_rutta
Mesocyclops_edax,Tropocyclops_prasinus
Salmo_rutta,Catostomus_commersoni
Cyclops_vernalis,Diaptomus_minutus
Cyclops_vernalis,Mesocyclops_edax
Salvelinus_fontinalis,Pimephales_promelas
Salmo_rutta,Salvelinus_fontinalis
Cyclops_vernalis,Tropocyclops_prasinus
fish_fry,Leptodora_kindtii
Tropocyclops_prasinus,Bosmina_longirostris
Tropocyclops_prasinus,Gastropus_hyptopus
Mesocyclops_edax,Bosmina_longirostris
Salmo_rutta,Pimephales_promelas
Tropocyclops_prasinus,Gastropus_stylifer
Tropocyclops_prasinus,Polyarthra_major
Mesocyclops_edax,Gastropus_hyptopus
fish_fry,copepod_nauplii
Mesocyclops_edax,Gastropus_stylifer
Mesocyclops_edax,Polyarthra_major
Cyclops_vernalis,Bosmina_longirostris
Salvelinus_fontinalis,Notemigonus_crysoleucas
Cyclops_vernalis,Gastropus_hyptopus
Tropocyclops_prasinus,Conochiloides_unicornis
Cyclops_vernalis,Gastropus_stylifer
Cyclops_vernalis,Polyarthra_major
Salvelinus_fontinalis,Osmerus_mordax
Mesocyclops_edax,Conochiloides_unicornis
Tropocyclops_prasinus,Polyarthra_remata
Salmo_rutta,Notemigonus_crysoleucas
Mesocyclops_edax,Polyarthra_remata
Cyclops_vernalis,Conochiloides_unicornis
Salvelinus_fontinalis,Rhinichthys_atratulus
Salmo_rutta,Osmerus_mordax
Cyclops_vernalis,Polyarthra_remata
Salmo_rutta,Rhinichthys_atratulus
fish_fry,Holopedium_gibberum
Tropocyclops_prasinus,Kelicottia_bostoniensis
Tropocyclops_prasinus,Kelicottia_longispina
Osmerus_mordax,fish_fry
fish_fry,Alona_quadrangularis
fish_fry,Diaphanosoma_birgei
Mesocyclops_edax,Kelicottia_bostoniensis
Mesocyclops_edax,Kelicottia_longispina
Tropocyclops_prasinus,Keratella_cochlearis
Tropocyclops_prasinus,Keratella_taurocephala
fish_fry,Cyclops_vernalis
Mesocyclops_edax,Keratella_cochlearis
Mesocyclops_edax,Keratella_taurocephala
fish_fry,Diaptomus_minutus
Cyclops_vernalis,Kelicottia_bostoniensis
Cyclops_vernalis,Kelicottia_longispina
fish_fry,Daphnia_catawba
fish_fry,Mesocyclops_edax
Cyclops_vernalis,Keratella_cochlearis
Cyclops_vernalis,Keratella_taurocephala
fish_fry,Tropocyclops_prasinus
fish_fry,Bosmina_longirostris
Salvelinus_fontinalis,fish_fry
fish_fry,Gastropus_hyptopus
fish_fry,Gastropus_stylifer
fish_fry,Polyarthra_major
Salmo_rutta,fish_fry
fish_fry,Conochiloides_unicornis
fish_fry,Polyarthra_remata
fish_fry,Kelicottia_bostoniensis
fish_fry,Kelicottia_longispina
fish_fry,Keratella_cochlearis
fish_fry,Keratella_taurocephala
Leptodora_kindtii,Leptodora_kindtii
Leptodora_kindtii,copepod_nauplii
Leptodora_kindtii,Holopedium_gibberum
Leptodora_kindtii,Diaphanosoma_birgei
Leptodora_kindtii,Cyclops_vernalis
Leptodora_kindtii,Daphnia_catawba
Leptodora_kindtii,Mesocyclops_edax
Leptodora_kindtii,Tropocyclops_prasinus
Osmerus_mordax,Leptodora_kindtii
Notemigonus_crysoleucas,Leptodora_kindtii
Leptodora_kindtii,Bosmina_longirostris
Osmerus_mordax,copepod_nauplii
Leptodora_kindtii,Gastropus_hyptopus
Leptodora_kindtii,Gastropus_stylifer
Leptodora_kindtii,Polyarthra_major
Notemigonus_crysoleucas,copepod_nauplii
Leptodora_kindtii,Conochiloides_unicornis
Pimephales_promelas,Leptodora_kindtii
Leptodora_kindtii,Polyarthra_remata
Pimephales_promelas,copepod_nauplii
Osmerus_mordax,Holopedium_gibberum
Notemigonus_crysoleucas,Holopedium_gibberum
Osmerus_mordax,Alona_quadrangularis
Osmerus_mordax,Diaphanosoma_birgei
Leptodora_kindtii,Kelicottia_bostoniensis
Leptodora_kindtii,Kelicottia_longispina
Notemigonus_crysoleucas,Alona_quadrangularis
Notemigonus_crysoleucas,Diaphanosoma_birgei
Osmerus_mordax,Cyclops_vernalis
Osmerus_mordax,Diaptomus_minutus
Notemigonus_crysoleucas,Cyclops_vernalis
Leptodora_kindtii,Keratella_cochlearis
Leptodora_kindtii,Keratella_taurocephala
Osmerus_mordax,Daphnia_catawba
Osmerus_mordax,Mesocyclops_edax
Notemigonus_crysoleucas,Diaptomus_minutus
Osmerus_mordax,Tropocyclops_prasinus
Pimephales_promelas,Holopedium_gibberum
Notemigonus_crysoleucas,Daphnia_catawba
Notemigonus_crysoleucas,Mesocyclops_edax
Notemigonus_crysoleucas,Tropocyclops_prasinus
Pimephales_promelas,Alona_quadrangularis
Pimephales_promelas,Diaphanosoma_birgei
Pimephales_promelas,Cyclops_vernalis
Osmerus_mordax,Bosmina_longirostris
Pimephales_promelas,Diaptomus_minutus
Osmerus_mordax,Gastropus_hyptopus
Notemigonus_crysoleucas,Bosmina_longirostris
Pimephales_promelas,Daphnia_catawba
Pimephales_promelas,Mesocyclops_edax
Osmerus_mordax,Gastropus_stylifer
Osmerus_mordax,Polyarthra_major
Notemigonus_crysoleucas,Gastropus_hyptopus
Pimephales_promelas,Tropocyclops_prasinus
Notemigonus_crysoleucas,Gastropus_stylifer
Notemigonus_crysoleucas,Polyarthra_major
Osmerus_mordax,Conochiloides_unicornis
Osmerus_mordax,Polyarthra_remata
Notemigonus_crysoleucas,Conochiloides_unicornis
Pimephales_promelas,Bosmina_longirostris
Notemigonus_crysoleucas,Polyarthra_remata
Pimephales_promelas,Gastropus_hyptopus
Pimephales_promelas,Gastropus_stylifer
Pimephales_promelas,Polyarthra_major
Pimephales_promelas,Conochiloides_unicornis
Osmerus_mordax,Kelicottia_bostoniensis
Osmerus_mordax,Kelicottia_longispina
Pimephales_promelas,Polyarthra_remata
Notemigonus_crysoleucas,Kelicottia_bostoniensis
Notemigonus_crysoleucas,Kelicottia_longispina
Osmerus_mordax,Keratella_cochlearis
Osmerus_mordax,Keratella_taurocephala
Notemigonus_crysoleucas,Keratella_cochlearis
Notemigonus_crysoleucas,Keratella_taurocephala
Pimephales_promelas,Kelicottia_bostoniensis
Pimephales_promelas,Kelicottia_longispina
Pimephales_promelas,Keratella_cochlearis
Pimephales_promelas,Keratella_taurocephala
