consumer,resource,NA,NA,NA,NA
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Colletheca_mutabilis,species,NA,3.21e-5,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Eucyclops_agilis,species,NA,1e-5,lakes,3
Alona_costata,species,NA,4.42e-6,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Gastropus_stylifer,species,NA,8.55e-7,lakes,3
Polyarthra_vulgaris,species,NA,5.09e-7,lakes,3
Ploesoma_truncatum,species,NA,4.92e-7,lakes,3
Kelicottia_longispina,species,NA,2e-8,lakes,3
Keratella_serrulata,species,NA,1e-8,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
