consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
Polyphemus_pediculus,species,NA,0.00677,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Synchaeta_sp.,genus,NA,1.37e-5,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
Chydorus_sphaericus,species,NA,2.18e-6,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Trichocerca_multicrinis,species,NA,1.23e-6,lakes,3
Gastropus_stylifer,species,NA,8.55e-7,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Lecane_mira,species,NA,3.18e-7,lakes,3
Kelicottia_longispina,species,NA,2e-8,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
Perca_flavescens,species,NA,28,lakes,3
