consumer,resource
Lithobius_sp.,Adoristes_ovatus
Schendyla_nemorensis,Adoristes_ovatus
Lithobius_curtipes_{l},Adoristes_ovatus
Isotomiella_minor,amoebae
Megalothorax_minimus,amoebae
Parisotoma_notabilis,amoebae
predacious_nematodes,amoebae
omnivorous_nematodes,amoebae
Enchytraeidae,amoebae
Lithobius_sp.,Atheta_sp._(juv)
Schendyla_nemorensis,Atheta_sp._(juv)
Athous_subfuscus_(juv)_{m},Atheta_sp._(juv)
Atheta_sp._(juv),Atheta_sp._(juv)
Geostiba_circellaris,Atheta_sp._(juv)
Othius_subuliformis,Atheta_sp._(juv)
Othius_sp._(juv)_{m},Atheta_sp._(juv)
Xantholininae_sp._(juv),Atheta_sp._(juv)
Linyphiidae_(juv),Atheta_sp._(juv)
Microneta_viaria,Atheta_sp._(juv)
Neon_reticulatus_(juv),Atheta_sp._(juv)
Robertus_lividus,Atheta_sp._(juv)
Tapinocyba_insecta,Atheta_sp._(juv)
Pergamasus_norvegicus,Atheta_sp._(juv)
Maro_minutus,Atheta_sp._(juv)
Pelecopsis_radicicola,Atheta_sp._(juv)
Euryopis_flavomaculata,Atheta_sp._(juv)
Microlestes_sp.,Atheta_sp._(juv)
Conosoma_testaceum,Atheta_sp._(juv)
Mycetoporus_mulsanti,Atheta_sp._(juv)
Olophrum_piceum,Atheta_sp._(juv)
Stenus_clavicornis,Atheta_sp._(juv)
Stenus_humilis,Atheta_sp._(juv)
Hahniidae_sp._(juv),Atheta_sp._(juv)
Clubionidae_(juv),Atheta_sp._(juv)
Lithobius_curtipes_{l},Atheta_sp._(juv)
Linyphiidae_cf_Erigoniinae_(juv)_{m},Atheta_sp._(juv)
Staphylinidae_spec,Atheta_sp._(juv)
Geophilomorpha_sp.,Atheta_sp._(juv)
Euophrys_frontalis,Atheta_sp._(juv)
Theridiidae_sp._(juv),Atheta_sp._(juv)
Salticidae_sp._(juv),Atheta_sp._(juv)
Pocadicnemis_juncea,Atheta_sp._(juv)
Ceratinella_scabrosa,Atheta_sp._(juv)
Lycosidae_sp._(juv),Atheta_sp._(juv)
Euophrys_herbigrada,Atheta_sp._(juv)
Zora_spinimana_(juv),Atheta_sp._(juv)
Lithobius_sp.,Athous_sp._(juv)
Schendyla_nemorensis,Athous_sp._(juv)
Geostiba_circellaris,Athous_sp._(juv)
Othius_subuliformis,Athous_sp._(juv)
Othius_sp._(juv)_{m},Athous_sp._(juv)
Xantholininae_sp._(juv),Athous_sp._(juv)
Microneta_viaria,Athous_sp._(juv)
Robertus_lividus,Athous_sp._(juv)
Tapinocyba_insecta,Athous_sp._(juv)
Trochosa_sp._(juv),Athous_sp._(juv)
Euryopis_flavomaculata,Athous_sp._(juv)
Microlestes_sp.,Athous_sp._(juv)
Conosoma_testaceum,Athous_sp._(juv)
Mycetoporus_mulsanti,Athous_sp._(juv)
Olophrum_piceum,Athous_sp._(juv)
Stenus_clavicornis,Athous_sp._(juv)
Stenus_humilis,Athous_sp._(juv)
Clubionidae_(juv),Athous_sp._(juv)
Lithobius_curtipes_{l},Athous_sp._(juv)
Staphylinidae_spec,Athous_sp._(juv)
Carabidae_sp.,Athous_sp._(juv)
Geophilomorpha_sp.,Athous_sp._(juv)
Euophrys_frontalis,Athous_sp._(juv)
Theridiidae_sp._(juv),Athous_sp._(juv)
Salticidae_sp._(juv),Athous_sp._(juv)
Pocadicnemis_juncea,Athous_sp._(juv)
Pelecopsis_radicicola,Athous_sp._(juv)
Lycosidae_sp._(juv),Athous_sp._(juv)
Euophrys_herbigrada,Athous_sp._(juv)
Zora_spinimana_(juv),Athous_sp._(juv)
Lithobius_sp.,Athous_subfuscus_(juv)_{m}
Schendyla_nemorensis,Athous_subfuscus_(juv)_{m}
Athous_subfuscus_(juv)_{m},Athous_subfuscus_(juv)_{m}
Geostiba_circellaris,Athous_subfuscus_(juv)_{m}
Othius_subuliformis,Athous_subfuscus_(juv)_{m}
Othius_sp._(juv)_{m},Athous_subfuscus_(juv)_{m}
Xantholininae_sp._(juv),Athous_subfuscus_(juv)_{m}
Linyphiidae_(juv),Athous_subfuscus_(juv)_{m}
Microneta_viaria,Athous_subfuscus_(juv)_{m}
Neon_reticulatus_(juv),Athous_subfuscus_(juv)_{m}
Robertus_lividus,Athous_subfuscus_(juv)_{m}
Tapinocyba_insecta,Athous_subfuscus_(juv)_{m}
Trochosa_sp._(juv),Athous_subfuscus_(juv)_{m}
Euryopis_flavomaculata,Athous_subfuscus_(juv)_{m}
Microlestes_sp.,Athous_subfuscus_(juv)_{m}
Conosoma_testaceum,Athous_subfuscus_(juv)_{m}
Mycetoporus_mulsanti,Athous_subfuscus_(juv)_{m}
Olophrum_piceum,Athous_subfuscus_(juv)_{m}
Stenus_clavicornis,Athous_subfuscus_(juv)_{m}
Stenus_humilis,Athous_subfuscus_(juv)_{m}
Hahniidae_sp._(juv),Athous_subfuscus_(juv)_{m}
Clubionidae_(juv),Athous_subfuscus_(juv)_{m}
Lithobius_curtipes_{l},Athous_subfuscus_(juv)_{m}
Staphylinidae_spec,Athous_subfuscus_(juv)_{m}
Geophilomorpha_sp.,Athous_subfuscus_(juv)_{m}
Euophrys_frontalis,Athous_subfuscus_(juv)_{m}
Theridiidae_sp._(juv),Athous_subfuscus_(juv)_{m}
Salticidae_sp._(juv),Athous_subfuscus_(juv)_{m}
Pocadicnemis_juncea,Athous_subfuscus_(juv)_{m}
Pelecopsis_radicicola,Athous_subfuscus_(juv)_{m}
Ceratinella_scabrosa,Athous_subfuscus_(juv)_{m}
Lycosidae_sp._(juv),Athous_subfuscus_(juv)_{m}
Euophrys_herbigrada,Athous_subfuscus_(juv)_{m}
Zora_spinimana_(juv),Athous_subfuscus_(juv)_{m}
