consumer,resource
Gammarus_oceanicus,Zooplankton
Pholoe_minuta,zooplancton
Fabricia_stellaris,Zooplankton
Oligochaeta,Zooplankton
Mytilus_sp.,Zooplankton
Zooplankton,Zooplankton
Balanus_crenatus,Zooplankton
Harpacticoida,Zooplankton
Nematoda,Nematoda
Polychaeta,Polychaeta
Pholoe_sp.,Polychaeta
Pholoe_minuta,Polychaeta
Polychaeta,Pholoe_sp.
Pholoe_sp.,Pholoe_sp.
Pholoe_minuta,Pholoe_sp.
Pholoe_sp.,Pholoe_minuta
Pholoe_minuta,Pholoe_minuta
Polychaeta,Fabricia_stellaris
Pholoe_sp.,Fabricia_stellaris
Pholoe_minuta,Fabricia_stellaris
Oligochaeta,Oligochaeta
Pholoe_sp.,Harpacticoida
Pholoe_minuta,Harpacticoida
