consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,3
zooplancton,NA,NA,0.001,marine,3
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,2e-4,marine,2
Pholoe_sp.,genus,NA,2e-4,marine,2
Pholoe_minuta,species,NA,0.001,marine,2
Fabricia_stellaris,species,NA,2e-4,marine,2
Oligochaeta,NA,NA,4e-4,marine,2
Harpacticoida,order,NA,0.001,marine,3
Gammarus_oceanicus,species,NA,0.1592,marine,3
Pholoe_minuta,species,NA,0.001,marine,3
Fabricia_stellaris,species,NA,2e-4,marine,3
Oligochaeta,NA,NA,4e-4,marine,3
Mytilus_sp.,genus,NA,2.6068,marine,3
Zooplankton,NA,NA,0.001,marine,3
Balanus_crenatus,species,NA,0.0504,marine,3
Harpacticoida,order,NA,0.001,marine,3
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,2e-4,marine,2
Pholoe_sp.,genus,NA,2e-4,marine,2
Pholoe_minuta,species,NA,0.001,marine,2
Oligochaeta,NA,NA,4e-4,marine,2
Pholoe_sp.,genus,NA,2e-4,marine,3
