consumer,resource
Polychaeta,Polychaeta
Eteone_longa,Polychaeta
Alitta_virens,Alitta_virens
Polychaeta,Zooplankton
Zooplankton,Zooplankton
Eteone_longa,Zooplankton
Eteone_sp.,Zooplankton
Oligochaeta,Zooplankton
Mytilus_sp.,Zooplankton
Gammarus_oceanicus,Zooplankton
Balanus_crenatus,Zooplankton
Polychaeta,Eteone_longa
Eteone_longa,Eteone_longa
Eteone_sp.,Eteone_longa
Polychaeta,Eteone_sp.
Eteone_longa,Eteone_sp.
Eteone_sp.,Eteone_sp.
Eteone_longa,Fabricia_stellaris
Eteone_sp.,Fabricia_stellaris
Oligochaeta,Oligochaeta
Polychaeta,Gammarus_oceanicus
Alitta_virens,Gammarus_oceanicus
Acari,Acari
Polychaeta,Nematoda
Nematoda,Nematoda
