consumer,resource,NA,NA,NA,NA
Polychaeta,class,NA,0.0017,marine,2
Zooplankton,NA,NA,0.001,marine,3
Eteone_longa,species,NA,0.0025,marine,2
Eteone_sp.,genus,NA,0.0026,marine,2
Polydora_websteri,species,NA,0.0042,marine,2
Oligochaeta,NA,NA,0.0014,marine,2
Hediste_diversicolor,species,NA,0.0833,marine,2
Gammarus_oceanicus,species,NA,0.1116,marine,3
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.0017,marine,2
Eteone_longa,species,NA,0.0025,marine,2
Eteone_sp.,genus,NA,0.0026,marine,2
Polychaeta,class,NA,0.0017,marine,3
Hediste_diversicolor,species,NA,0.0833,marine,3
Zooplankton,NA,NA,0.001,marine,3
Eteone_longa,species,NA,0.0025,marine,3
Eteone_sp.,genus,NA,0.0026,marine,3
Polydora_websteri,species,NA,0.0042,marine,3
Oligochaeta,NA,NA,0.0014,marine,3
Mytilus_sp.,genus,NA,2.5365,marine,3
Gammarus_oceanicus,species,NA,0.1116,marine,3
Oligochaeta,NA,NA,0.0014,marine,2
Hediste_diversicolor,species,NA,0.0833,marine,2
Nematoda,NA,NA,0.01,marine,2
