consumer,resource,NA,NA,NA
Zooplankton,NA,NA,0.001,marine
Eurypanopeus_abreviatus,species,NA,0.01,marine
Copepoda,NA,NA,0.001,marine
Bathygobius_soporator,species,NA,4.41,marine
Callinectes_sapidus,species,NA,3.89,marine
Tanaidacea,NA,NA,0.01,marine
Palaemon_northropi,species,NA,0.206,marine
Polychaeta,class,NA,0.01,marine
Zooplankton,NA,NA,0.001,marine
Eurypanopeus_abreviatus,species,NA,0.01,marine
Tetraclita_stalactifera,species,NA,0.008,marine
Copepoda,NA,NA,0.001,marine
Crassostrea_virginica,species,NA,10.85,marine
Tanaidacea,NA,NA,0.01,marine
Polychaeta,class,NA,0.01,marine
Bathygobius_soporator,species,NA,4.41,marine
Palaemon_northropi,species,NA,0.206,marine
Callinectes_sapidus,species,NA,3.89,marine
