consumer,resource
fish_fry,fish_eggs
Mesocyclops_edax,copepod_nauplii
Cyclops_bicuspidatus,copepod_nauplii
Mesocyclops_edax,Cyclops_bicuspidatus
Salvelinus_fontinalis,Catostomus_commersoni
Mesocyclops_edax,Diaptomus_minutus
Salvelinus_fontinalis,Salvelinus_fontinalis
Cyclops_bicuspidatus,Cyclops_bicuspidatus
Mesocyclops_edax,Mesocyclops_edax
Cyclops_bicuspidatus,Diaptomus_minutus
Cyclops_bicuspidatus,Mesocyclops_edax
Mesocyclops_edax,Bosmina_longirostris
fish_fry,copepod_nauplii
Salvelinus_fontinalis,Ictalurus_nebulosus
Mesocyclops_edax,Polyarthra_major
Cyclops_bicuspidatus,Bosmina_longirostris
Cyclops_bicuspidatus,Polyarthra_major
Salvelinus_fontinalis,Chrosomus_eos
fish_fry,Daphnia_pulex
Mesocyclops_edax,Kelicottia_longispina
fish_fry,Cyclops_bicuspidatus
Mesocyclops_edax,Keratella_taurocephala
fish_fry,Diaptomus_minutus
Cyclops_bicuspidatus,Kelicottia_longispina
fish_fry,Mesocyclops_edax
Cyclops_bicuspidatus,Keratella_taurocephala
Chrosomus_eos,copepod_nauplii
fish_fry,Bosmina_longirostris
fish_fry,Polyarthra_major
Salvelinus_fontinalis,fish_fry
Chrosomus_eos,Daphnia_pulex
Chrosomus_eos,Cyclops_bicuspidatus
Chrosomus_eos,Diaptomus_minutus
fish_fry,Kelicottia_longispina
Chrosomus_eos,Mesocyclops_edax
fish_fry,Keratella_taurocephala
Chrosomus_eos,Bosmina_longirostris
Chrosomus_eos,Polyarthra_major
Chrosomus_eos,Kelicottia_longispina
Chrosomus_eos,Keratella_taurocephala
