consumer,resource
Tanypodinae,Tabellaria_flocculosa
Salmo_trutta,Salmo_trutta
Dicranota_sp.,Tanypodinae
Dicranota_sp.,Dicranota_sp.
Salmo_trutta,Sigara_lateralis
Tanypodinae,Tanypodinae
Salmo_trutta,Tanypodinae
Salmo_trutta,Dicranota_sp.
Dicranota_sp.,Sialis_lutaria
Dicranota_sp.,Nemoura_cambrica
Dicranota_sp.,Leuctra_nigra
Dicranota_sp.,Chironomidae_indet.
Sigara_lateralis,Oreodytes_davisii
Tanypodinae,Sialis_lutaria
Tanypodinae,Polycentropus
Tanypodinae,Plectrocnemia_conspersa
Tanypodinae,Nemoura_cambrica
Tanypodinae,Siphonoperla_torrentium
Tanypodinae,Leuctra_nigra
Tanypodinae,Oligochaetae
Tanypodinae,Chironomidae_indet.
Salmo_trutta,Oreodytes_davisii
Salmo_trutta,Halesus_radiatus
Salmo_trutta,Sialis_lutaria
Salmo_trutta,Polycentropus
Salmo_trutta,Plectrocnemia_conspersa
Salmo_trutta,Nemoura_cambrica
Salmo_trutta,Capnia_vidua
Salmo_trutta,Leuctra_nigra
Salmo_trutta,Oligochaetae
Salmo_trutta,Chironomidae_indet.
Sigara_lateralis,Sialis_lutaria
Sigara_lateralis,Oligochaetae
Sigara_lateralis,Chironomidae_indet.
Capnia_vidua,Tabellaria_flocculosa
Chaetopteryx_villosa,Tabellaria_flocculosa
Chironomidae_indet.,Tabellaria_flocculosa
Halesus_radiatus,Tabellaria_flocculosa
Leuctra_nigra,Tabellaria_flocculosa
Nemoura_cambrica,Tabellaria_flocculosa
Oligochaetae,Tabellaria_flocculosa
Plectrocnemia_conspersa,Tabellaria_flocculosa
Polycentropus,Tabellaria_flocculosa
Sialis_lutaria,Tabellaria_flocculosa
Diura_bicaudata,Tanypodinae
Oreodytes_davisii,Sigara_lateralis
Plectrocnemia_conspersa,Sigara_lateralis
Plectrocnemia_conspersa,Tanypodinae
Plectrocnemia_conspersa,Dicranota_sp.
Polycentropus,Sigara_lateralis
Polycentropus,Tanypodinae
Sialis_lutaria,Sigara_lateralis
Sialis_lutaria,Tanypodinae
Siphonoperla_torrentium,Tanypodinae
Oreodytes_davisii,Tanypodinae
Polycentropus,Dicranota_sp.
Sialis_lutaria,Dicranota_sp.
Chaetopteryx_villosa,Chironomidae_indet.
Diura_bicaudata,Nemoura_cambrica
Diura_bicaudata,Siphonoperla_torrentium
Diura_bicaudata,Leuctra_nigra
Diura_bicaudata,Oligochaetae
Diura_bicaudata,Chironomidae_indet.
Hydracarina_sp.,Chironomidae_indet.
Oreodytes_davisii,Sialis_lutaria
Oreodytes_davisii,Nemoura_cambrica
Plectrocnemia_conspersa,Oreodytes_davisii
Plectrocnemia_conspersa,Halesus_radiatus
Plectrocnemia_conspersa,Sialis_lutaria
Plectrocnemia_conspersa,Polycentropus
Plectrocnemia_conspersa,Plectrocnemia_conspersa
Plectrocnemia_conspersa,Nemoura_cambrica
Plectrocnemia_conspersa,Capnia_vidua
Plectrocnemia_conspersa,Siphonoperla_torrentium
Plectrocnemia_conspersa,Leuctra_nigra
Plectrocnemia_conspersa,Oligochaetae
Plectrocnemia_conspersa,Chironomidae_indet.
Polycentropus,Oreodytes_davisii
Polycentropus,Sialis_lutaria
Polycentropus,Polycentropus
Polycentropus,Plectrocnemia_conspersa
Polycentropus,Nemoura_cambrica
Polycentropus,Siphonoperla_torrentium
Polycentropus,Leuctra_nigra
Polycentropus,Oligochaetae
Polycentropus,Chironomidae_indet.
Sialis_lutaria,Oreodytes_davisii
Sialis_lutaria,Sialis_lutaria
Sialis_lutaria,Polycentropus
Sialis_lutaria,Plectrocnemia_conspersa
Sialis_lutaria,Nemoura_cambrica
Sialis_lutaria,Siphonoperla_torrentium
Sialis_lutaria,Leuctra_nigra
Sialis_lutaria,Oligochaetae
Sialis_lutaria,Hydracarina_sp.
Siphonoperla_torrentium,Nemoura_cambrica
Siphonoperla_torrentium,Siphonoperla_torrentium
Siphonoperla_torrentium,Leuctra_nigra
Siphonoperla_torrentium,Oligochaetae
Siphonoperla_torrentium,Chironomidae_indet.
Halesus_radiatus,Chironomidae_indet.
Oreodytes_davisii,Oligochaetae
Oreodytes_davisii,Hydracarina_sp.
Oreodytes_davisii,Chironomidae_indet.
Sialis_lutaria,Chironomidae_indet.
