consumer,resource
Procladius_sagittalis,Chironomidae_indet.
Procladius_sagittalis,Tanytarsus_bruchonidae
Procladius_sagittalis,Glyptotendipes_pallens
Procladius_sagittalis,Chironomus_dorsalis
Procladius_sagittalis,Corynoneura_scutellata
Procladius_sagittalis,Acanthocyclops_vernalis
Procladius_sagittalis,Chydorus_latus
Procladius_sagittalis,Scapaloberis_mucronata
Procladius_sagittalis,Enchytraidae_sp.
Limnephilus_marmoratus,Chironomidae_indet.
Limnephilus_marmoratus,Tanytarsus_bruchonidae
Limnephilus_marmoratus,Glyptotendipes_pallens
Limnephilus_marmoratus,Chironomus_dorsalis
Limnephilus_marmoratus,Corynoneura_scutellata
Limnephilus_marmoratus,Lumbriculus_variegatus
Limnephilus_marmoratus,Enchytraidae_sp.
Holocentropus_picicornis,Chironomidae_indet.
Holocentropus_picicornis,Tanytarsus_bruchonidae
Holocentropus_picicornis,Glyptotendipes_pallens
Holocentropus_picicornis,Chironomus_dorsalis
Holocentropus_picicornis,Corynoneura_scutellata
Holocentropus_picicornis,Procladius_sagittalis
Holocentropus_picicornis,Hydroporus_erythrocephalus
Holocentropus_picicornis,Sigara_semistriata
Holocentropus_picicornis,Arctocorisa_germari
Holocentropus_picicornis,Hesperocorixa_sahlbergi
Holocentropus_picicornis,Hesperocorixa_linnei
Holocentropus_picicornis,Corixa_punctata
Holocentropus_picicornis,Corixa_dentipes
Holocentropus_picicornis,Callicorixa_praeusta
Holocentropus_picicornis,Chydorus_latus
Holocentropus_picicornis,Scapaloberis_mucronata
Holocentropus_picicornis,Enchytraidae_sp.
Sialis_lutaria,Chironomidae_indet.
Sialis_lutaria,Tanytarsus_bruchonidae
Sialis_lutaria,Glyptotendipes_pallens
Sialis_lutaria,Chironomus_dorsalis
Sialis_lutaria,Corynoneura_scutellata
Sialis_lutaria,Procladius_sagittalis
Sialis_lutaria,Sialis_lutaria
Sialis_lutaria,Hydroporus_erythrocephalus
Sialis_lutaria,Sigara_semistriata
Sialis_lutaria,Arctocorisa_germari
Sialis_lutaria,Hesperocorixa_sahlbergi
Sialis_lutaria,Hesperocorixa_linnei
Sialis_lutaria,Corixa_punctata
Sialis_lutaria,Corixa_dentipes
Sialis_lutaria,Callicorixa_praeusta
Sialis_lutaria,Acanthocyclops_vernalis
Sialis_lutaria,Chydorus_latus
Sialis_lutaria,Scapaloberis_mucronata
Sialis_lutaria,Lumbriculus_variegatus
Sialis_lutaria,Enchytraidae_sp.
Dytiscus_marginalis,Chironomidae_indet.
Dytiscus_marginalis,Tanytarsus_bruchonidae
Dytiscus_marginalis,Glyptotendipes_pallens
Dytiscus_marginalis,Chironomus_dorsalis
Dytiscus_marginalis,Corynoneura_scutellata
Dytiscus_marginalis,Procladius_sagittalis
Dytiscus_marginalis,Limnephilus_marmoratus
Dytiscus_marginalis,Holocentropus_picicornis
Dytiscus_marginalis,Sialis_lutaria
Dytiscus_marginalis,Dytiscus_marginalis
Dytiscus_marginalis,Illybius_fuliginosus
Dytiscus_marginalis,Agabus_bipustulatus
Dytiscus_marginalis,Agabus_sturmii
Dytiscus_marginalis,Hydroporus_erythrocephalus
Dytiscus_marginalis,Sigara_semistriata
Dytiscus_marginalis,Arctocorisa_germari
Dytiscus_marginalis,Hesperocorixa_sahlbergi
Dytiscus_marginalis,Hesperocorixa_linnei
Dytiscus_marginalis,Corixa_punctata
Dytiscus_marginalis,Corixa_dentipes
Dytiscus_marginalis,Callicorixa_praeusta
Dytiscus_marginalis,Notonecta_glauca
Dytiscus_marginalis,Sympetrum_scoticum
Dytiscus_marginalis,Aeshna_juncea
Dytiscus_marginalis,Lestes_sponsa
Dytiscus_marginalis,Enallagma_cyathigerum
Dytiscus_marginalis,Lumbriculus_variegatus
Illybius_fuliginosus,Chironomidae_indet.
Illybius_fuliginosus,Tanytarsus_bruchonidae
Illybius_fuliginosus,Glyptotendipes_pallens
Illybius_fuliginosus,Chironomus_dorsalis
Illybius_fuliginosus,Corynoneura_scutellata
Illybius_fuliginosus,Procladius_sagittalis
Illybius_fuliginosus,Limnephilus_marmoratus
Illybius_fuliginosus,Holocentropus_picicornis
Illybius_fuliginosus,Sialis_lutaria
Illybius_fuliginosus,Illybius_fuliginosus
Illybius_fuliginosus,Agabus_bipustulatus
Illybius_fuliginosus,Agabus_sturmii
Illybius_fuliginosus,Hydroporus_erythrocephalus
Illybius_fuliginosus,Sigara_semistriata
Illybius_fuliginosus,Arctocorisa_germari
Illybius_fuliginosus,Hesperocorixa_sahlbergi
Illybius_fuliginosus,Hesperocorixa_linnei
Illybius_fuliginosus,Corixa_punctata
Illybius_fuliginosus,Corixa_dentipes
Illybius_fuliginosus,Callicorixa_praeusta
Illybius_fuliginosus,Notonecta_glauca
Illybius_fuliginosus,Lestes_sponsa
Illybius_fuliginosus,Enallagma_cyathigerum
Illybius_fuliginosus,Acanthocyclops_vernalis
Illybius_fuliginosus,Scapaloberis_mucronata
Illybius_fuliginosus,Lumbriculus_variegatus
Illybius_fuliginosus,Enchytraidae_sp.
Agabus_bipustulatus,Chironomidae_indet.
Agabus_bipustulatus,Tanytarsus_bruchonidae
Agabus_bipustulatus,Glyptotendipes_pallens
Agabus_bipustulatus,Chironomus_dorsalis
Agabus_bipustulatus,Corynoneura_scutellata
Agabus_bipustulatus,Procladius_sagittalis
Agabus_bipustulatus,Limnephilus_marmoratus
Agabus_bipustulatus,Holocentropus_picicornis
Agabus_bipustulatus,Sialis_lutaria
Agabus_bipustulatus,Illybius_fuliginosus
Agabus_bipustulatus,Agabus_bipustulatus
Agabus_bipustulatus,Agabus_sturmii
Agabus_bipustulatus,Hydroporus_erythrocephalus
Agabus_bipustulatus,Sigara_semistriata
Agabus_bipustulatus,Arctocorisa_germari
Agabus_bipustulatus,Hesperocorixa_sahlbergi
Agabus_bipustulatus,Hesperocorixa_linnei
Agabus_bipustulatus,Corixa_punctata
Agabus_bipustulatus,Corixa_dentipes
Agabus_bipustulatus,Callicorixa_praeusta
Agabus_bipustulatus,Notonecta_glauca
Agabus_bipustulatus,Lestes_sponsa
Agabus_bipustulatus,Enallagma_cyathigerum
Agabus_bipustulatus,Acanthocyclops_vernalis
Agabus_bipustulatus,Scapaloberis_mucronata
Agabus_bipustulatus,Lumbriculus_variegatus
Agabus_bipustulatus,Enchytraidae_sp.
Agabus_sturmii,Chironomidae_indet.
Agabus_sturmii,Tanytarsus_bruchonidae
Agabus_sturmii,Glyptotendipes_pallens
Agabus_sturmii,Chironomus_dorsalis
Agabus_sturmii,Corynoneura_scutellata
Agabus_sturmii,Procladius_sagittalis
Agabus_sturmii,Limnephilus_marmoratus
Agabus_sturmii,Holocentropus_picicornis
Agabus_sturmii,Sialis_lutaria
Agabus_sturmii,Illybius_fuliginosus
Agabus_sturmii,Agabus_bipustulatus
Agabus_sturmii,Agabus_sturmii
Agabus_sturmii,Hydroporus_erythrocephalus
Agabus_sturmii,Sigara_semistriata
Agabus_sturmii,Arctocorisa_germari
Agabus_sturmii,Hesperocorixa_sahlbergi
Agabus_sturmii,Hesperocorixa_linnei
Agabus_sturmii,Corixa_punctata
Agabus_sturmii,Corixa_dentipes
Agabus_sturmii,Callicorixa_praeusta
Agabus_sturmii,Notonecta_glauca
Agabus_sturmii,Lestes_sponsa
Agabus_sturmii,Enallagma_cyathigerum
Agabus_sturmii,Acanthocyclops_vernalis
Agabus_sturmii,Scapaloberis_mucronata
Agabus_sturmii,Lumbriculus_variegatus
Agabus_sturmii,Enchytraidae_sp.
Hydroporus_erythrocephalus,Chironomidae_indet.
Hydroporus_erythrocephalus,Tanytarsus_bruchonidae
Hydroporus_erythrocephalus,Glyptotendipes_pallens
Hydroporus_erythrocephalus,Chironomus_dorsalis
Hydroporus_erythrocephalus,Corynoneura_scutellata
Hydroporus_erythrocephalus,Procladius_sagittalis
Hydroporus_erythrocephalus,Sialis_lutaria
Hydroporus_erythrocephalus,Hydroporus_erythrocephalus
Hydroporus_erythrocephalus,Chydorus_latus
Hydroporus_erythrocephalus,Scapaloberis_mucronata
Hydroporus_erythrocephalus,Enchytraidae_sp.
Callicorixa_praeusta,Chironomidae_indet.
Callicorixa_praeusta,Tanytarsus_bruchonidae
Callicorixa_praeusta,Glyptotendipes_pallens
Callicorixa_praeusta,Chironomus_dorsalis
Callicorixa_praeusta,Corynoneura_scutellata
Callicorixa_praeusta,Procladius_sagittalis
Notonecta_glauca,Chironomidae_indet.
Notonecta_glauca,Tanytarsus_bruchonidae
Notonecta_glauca,Glyptotendipes_pallens
Notonecta_glauca,Chironomus_dorsalis
Notonecta_glauca,Corynoneura_scutellata
Notonecta_glauca,Procladius_sagittalis
Notonecta_glauca,Limnephilus_marmoratus
Notonecta_glauca,Holocentropus_picicornis
Notonecta_glauca,Sialis_lutaria
Notonecta_glauca,Illybius_fuliginosus
