consumer,resource
Aoteapsyche_spp.,Terrestrial_Invertebrates
Aoteapsyche_spp.,Austrosimulium_australense
Aoteapsyche_spp.,Pirara
Aoteapsyche_spp.,Tanytarsini
Aphrophila_noevaezelandiae,Tanytarsini
Archichauliodes_diversus,Pirara
Archichauliodes_diversus,Deleatidium_spp.
Salmo_trutta,Terrestrial_Invertebrates
Salmo_trutta,Aoteapsyche_spp.
Salmo_trutta,Aphrophila_noevaezelandiae
Salmo_trutta,Archicauliodes_diversus
Salmo_trutta,Austroclima_jollyae
Salmo_trutta,Austrosimulium_australense
Salmo_trutta,Coloburiscus_humeralis
Salmo_trutta,Costachorema_xanthoptera
Salmo_trutta,Deleatidium_spp.
Salmo_trutta,Helicopsyche_albescens
Salmo_trutta,Hydora_nitida_(larva)
Salmo_trutta,Hydrobiosis_parumbripennis
Salmo_trutta,Olinga_feredayi
Salmo_trutta,Podaena_sp._(larva)
Salmo_trutta,Potamopyrgus_antipodarum
Salmo_trutta,Psilachorema_bidens
Salmo_trutta,Pycnocentria_spp.
Salmo_trutta,Pycnocentrodes_spp.
