consumer,resource
Cyclops_varians_rubellus,Ascomorpha_eucadis
Cyclops_varians_rubellus,Synchaeta_sp.
Cyclops_varians_rubellus,Conochilus_(solitary)
Cyclops_varians_rubellus,Cyclops_varians_rubellus
Cyclops_varians_rubellus,Filinia_longispina
Cyclops_varians_rubellus,Conochiloides_dossuarius
Cyclops_varians_rubellus,Gastropus_stylifer
Cyclops_varians_rubellus,Kellicottia_sp.
Cyclops_varians_rubellus,Keratella_cochlearis
Cyclops_varians_rubellus,Keratella_testudo
Cyclops_varians_rubellus,Leptodiaptomus_siciloides
Cyclops_varians_rubellus,Ploesoma_sp.
Cyclops_varians_rubellus,Polyarthra_vulgaris
Cyclops_varians_rubellus,Trichocerca_multicrinis
Cyclops_varians_rubellus,Trichocerca_cylindrica
Cyclops_varians_rubellus,Tropocyclops_prasinus
Daphnia_pulex,Ascomorpha_eucadis
Daphnia_pulex,Synchaeta_sp.
Daphnia_pulex,Keratella_cochlearis
Orthocyclops_modestus,Ascomorpha_eucadis
Orthocyclops_modestus,Synchaeta_sp.
Orthocyclops_modestus,Conochilus_(solitary)
Orthocyclops_modestus,Cyclops_varians_rubellus
Orthocyclops_modestus,Filinia_longispina
Orthocyclops_modestus,Conochiloides_dossuarius
Orthocyclops_modestus,Gastropus_stylifer
Orthocyclops_modestus,Kellicottia_sp.
Orthocyclops_modestus,Keratella_cochlearis
Orthocyclops_modestus,Keratella_testudo
Orthocyclops_modestus,Leptodiaptomus_siciloides
Orthocyclops_modestus,Orthocyclops_modestus
Orthocyclops_modestus,Ploesoma_sp.
Orthocyclops_modestus,Polyarthra_vulgaris
Orthocyclops_modestus,Trichocerca_multicrinis
Orthocyclops_modestus,Trichocerca_cylindrica
Orthocyclops_modestus,Tropocyclops_prasinus
Tropocyclops_prasinus,Ascomorpha_eucadis
Tropocyclops_prasinus,Synchaeta_sp.
Tropocyclops_prasinus,Conochilus_(solitary)
Tropocyclops_prasinus,Cyclops_varians_rubellus
Tropocyclops_prasinus,Filinia_longispina
Tropocyclops_prasinus,Conochiloides_dossuarius
Tropocyclops_prasinus,Gastropus_stylifer
Tropocyclops_prasinus,Kellicottia_sp.
Tropocyclops_prasinus,Keratella_cochlearis
Tropocyclops_prasinus,Keratella_testudo
Tropocyclops_prasinus,Leptodiaptomus_siciloides
Tropocyclops_prasinus,Ploesoma_sp.
Tropocyclops_prasinus,Polyarthra_vulgaris
Tropocyclops_prasinus,Trichocerca_multicrinis
Tropocyclops_prasinus,Trichocerca_cylindrica
Tropocyclops_prasinus,Tropocyclops_prasinus
Chaoborys_punctipennis,Ascomorpha_eucadis
Chaoborys_punctipennis,Synchaeta_sp.
Chaoborys_punctipennis,Bosmina_longirostris
Chaoborys_punctipennis,Conochilus_(solitary)
Chaoborys_punctipennis,Cyclops_varians_rubellus
Chaoborys_punctipennis,Diaphanosoma_leuchtenbergianum
Chaoborys_punctipennis,Daphnia_pulex
Chaoborys_punctipennis,Filinia_longispina
Chaoborys_punctipennis,Conochiloides_dossuarius
Chaoborys_punctipennis,Gastropus_stylifer
Chaoborys_punctipennis,Kellicottia_sp.
Chaoborys_punctipennis,Keratella_cochlearis
Chaoborys_punctipennis,Keratella_testudo
Chaoborys_punctipennis,Leptodiaptomus_siciloides
Chaoborys_punctipennis,Orthocyclops_modestus
Chaoborys_punctipennis,Ploesoma_sp.
Chaoborys_punctipennis,Polyarthra_vulgaris
Chaoborys_punctipennis,Trichocerca_multicrinis
Chaoborys_punctipennis,Trichocerca_cylindrica
Chaoborys_punctipennis,Tropocyclops_prasinus
Chaoborys_punctipennis,Chaoborys_punctipennis
Phoxinus_eos,Bosmina_longirostris
Phoxinus_eos,Cyclops_varians_rubellus
Phoxinus_eos,Diaphanosoma_leuchtenbergianum
Phoxinus_eos,Daphnia_pulex
Phoxinus_eos,Holopedium_gibberum
Phoxinus_eos,Leptodiaptomus_siciloides
Phoxinus_eos,Orthocyclops_modestus
Phoxinus_eos,Tropocyclops_prasinus
Phoxinus_eos,Chaoborys_punctipennis
Phoxinys_neogaeus,Bosmina_longirostris
Phoxinys_neogaeus,Cyclops_varians_rubellus
Phoxinys_neogaeus,Diaphanosoma_leuchtenbergianum
Phoxinys_neogaeus,Daphnia_pulex
Phoxinys_neogaeus,Holopedium_gibberum
Phoxinys_neogaeus,Leptodiaptomus_siciloides
Phoxinys_neogaeus,Orthocyclops_modestus
Phoxinys_neogaeus,Tropocyclops_prasinus
Phoxinys_neogaeus,Chaoborys_punctipennis
Umbra_limi,Bosmina_longirostris
Umbra_limi,Cyclops_varians_rubellus
Umbra_limi,Diaphanosoma_leuchtenbergianum
Umbra_limi,Daphnia_pulex
Umbra_limi,Holopedium_gibberum
Umbra_limi,Leptodiaptomus_siciloides
Umbra_limi,Orthocyclops_modestus
Umbra_limi,Tropocyclops_prasinus
Umbra_limi,Chaoborys_punctipennis
Umbra_limi,Phoxinus_eos
Umbra_limi,Phoxinys_neogaeus
Umbra_limi,Umbra_limi
