consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Salvelinus_fontinalis,species,NA,473,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Conochiloides_dossuarius,species,NA,1.83e-6,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Trichocerca_multicrinis,species,NA,1.23e-6,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Ictalurus_nebulosus,species,NA,48,lakes,3
Holopedium_gibberum,species,NA,6.82e-5,lakes,3
Daphnia_pulex,species,NA,5.8e-5,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
