consumer,resource,NA,NA,NA
Zooplankton,NA,NA,0.001,marine
Anemonia_viridis,species,NA,0.01,marine
Actinia_equina,species,NA,0.01,marine
Nematoda,NA,NA,0.01,marine
Polychaeta,class,NA,0.0052,marine
Nereis_sp.,genus,NA,0.0024,marine
Spirorbis_spirorbis,species,NA,0.001,marine
Omalogyra_atomus,species,NA,4e-4,marine
Barleeia_sp.,genus,NA,0.0039,marine
Turritellidae,family,NA,0.01,marine
Rissoidae,family,NA,0.004,marine
Nassariidae,family,NA,0.0095,marine
Nucella_lapillus,species,NA,0.01,marine
Patella_vulgata,species,NA,0.01,marine
Gibbula_cineraria,species,NA,0.01,marine
Bivalvia,class,NA,4e-4,marine
Solecurtus_strigilatus,species,NA,0.0369,marine
Tanaidacea,NA,NA,0.0015,marine
Gammaridae,family,NA,9e-4,marine
Stenothoidae,family,NA,0.0032,marine
Ampithoidae,family,NA,0.0019,marine
Palaemon_serratus,species,NA,0.2526,marine
Insecta,class,NA,0.001,marine
Harparticoida,order,NA,0.001,marine
Ostracoda,class,NA,0.001,marine
Membranipora_membranaceae,species,NA,0.01,marine
Amphipholis_squamata,species,NA,0.004,marine
Gammaridae,family,NA,9e-4,marine
Stenothoidae,family,NA,0.0032,marine
Ampithoidae,family,NA,0.0019,marine
Zooplankton,NA,NA,0.001,marine
Polychaeta,class,NA,0.0052,marine
Nereis_sp.,genus,NA,0.0024,marine
Spirorbis_spirorbis,species,NA,0.001,marine
Insecta,class,NA,0.001,marine
Membranipora_membranaceae,species,NA,0.01,marine
Nassariidae,family,NA,0.0095,marine
Amphipholis_squamata,species,NA,0.004,marine
Tanaidacea,NA,NA,0.0015,marine
Palaemon_serratus,species,NA,0.2526,marine
Solecurtus_strigilatus,species,NA,0.0369,marine
Anemonia_viridis,species,NA,0.01,marine
Actinia_equina,species,NA,0.01,marine
Nematoda,NA,NA,0.01,marine
Nucella_lapillus,species,NA,0.01,marine
Ostracoda,class,NA,0.001,marine
