consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,3
Actinia_equina,species,NA,0.01,marine,3
Nemertea,NA,NA,0.01,marine,2
Nematoda,NA,NA,2e-4,marine,2
Polychaeta,class,NA,0.0045,marine,2
Nereis_sp.,genus,NA,0.0075,marine,2
Omalogyra_atomus,species,NA,2e-4,marine,2
Barleeia_sp.,genus,NA,0.003,marine,2
Nucella_lapillus,species,NA,0.01,marine,2
Phorcus_lineatus,species,NA,0.01,marine,2
Bivalvia,class,NA,0.0074,marine,2
Solecurtus_strigilatus,species,NA,0.0213,marine,2
Mytilus_galloprovincialis,species,NA,0.0489,marine,2
Tanaidacea,NA,NA,0.0013,marine,2
Gammaridae,family,NA,0.0013,marine,3
Stenothoidae,family,NA,0.0021,marine,3
Cancer_pagurus,species,NA,0.01,marine,2
Pagurus_bernhardus,species,NA,0.01,marine,2
Carcinus_maenas,species,NA,0.0135,marine,2
Insecta,class,NA,1e-4,marine,2
Harparticoida,order,NA,0.001,marine,3
Ostracoda,class,NA,0.001,marine,2
Halacaridae,family,NA,1e-4,marine,2
Amphipholis_squamata,species,NA,0.0049,marine,2
Symphodus_melops,species,NA,0.01,marine,2
Gobius_paganellus,species,NA,0.01,marine,2
