consumer,resource
Gammaridae,Zooplankton
Stenothoidae,Zooplankton
Ampithoidae,Zooplankton
Zooplankton,Zooplankton
Polychaeta,Zooplankton
Nereis_sp.,Zooplankton
Oligochaeta,Zooplankton
Carcinus_maenas,Zooplankton
Amphipholis_squamata,Zooplankton
Bivalvia,Zooplankton
Venerupis_sp.,Zooplankton
Mytilus_galloprovincialis,Zooplankton
Tanaidacea,Zooplankton
Palaemon_elegans,Zooplankton
Nematoda,Nematoda
Carcinus_maenas,Polychaeta
Stenothoidae,Polychaeta
Ampithoidae,Polychaeta
Polychaeta,Polychaeta
Palaemon_elegans,Polychaeta
Stenothoidae,Nereis_sp.
Ampithoidae,Nereis_sp.
Nematoda,Nereis_sp.
Polychaeta,Nereis_sp.
Palaemon_elegans,Nereis_sp.
Carcinus_maenas,Nereis_sp.
Stenothoidae,Spirorbis_spirorbis
Ampithoidae,Spirorbis_spirorbis
Nematoda,Spirorbis_spirorbis
Polychaeta,Spirorbis_spirorbis
Palaemon_elegans,Spirorbis_spirorbis
Carcinus_maenas,Spirorbis_spirorbis
Gammaridae,Oligochaeta
Carcinus_maenas,Oligochaeta
Nematoda,Oligochaeta
Polychaeta,Oligochaeta
Oligochaeta,Oligochaeta
Carcinus_maenas,Acanthochitona_crinita
Polychaeta,Acanthochitona_crinita
Carcinus_maenas,Omalogyra_atomus
Polychaeta,Omalogyra_atomus
Carcinus_maenas,Patella_vulgata
Polychaeta,Patella_vulgata
Carcinus_maenas,Bivalvia
Polychaeta,Bivalvia
Carcinus_maenas,Venerupis_sp.
Polychaeta,Venerupis_sp.
Carcinus_maenas,Mytilus_galloprovincialis
Polychaeta,Mytilus_galloprovincialis
Gammaridae,Tanaidacea
Stenothoidae,Tanaidacea
Ampithoidae,Tanaidacea
Polychaeta,Tanaidacea
Palaemon_elegans,Tanaidacea
Carcinus_maenas,Tanaidacea
Gammaridae,Gammaridae
Stenothoidae,Gammaridae
Ampithoidae,Gammaridae
Polychaeta,Gammaridae
Palaemon_elegans,Gammaridae
Carcinus_maenas,Gammaridae
Stenothoidae,Stenothoidae
Ampithoidae,Stenothoidae
Polychaeta,Stenothoidae
Palaemon_elegans,Stenothoidae
Carcinus_maenas,Stenothoidae
Stenothoidae,Ampithoidae
Ampithoidae,Ampithoidae
Polychaeta,Ampithoidae
Palaemon_elegans,Ampithoidae
Carcinus_maenas,Ampithoidae
Carcinus_maenas,Palaemon_elegans
Polychaeta,Palaemon_elegans
Palaemon_elegans,Palaemon_elegans
Carcinus_maenas,Carcinus_maenas
Polychaeta,Carcinus_maenas
Carcinus_maenas,Insecta
Insecta,Insecta
Palaemon_elegans,Insecta
Gammaridae,Harparticoida
Stenothoidae,Harparticoida
Ampithoidae,Harparticoida
Polychaeta,Harparticoida
Palaemon_elegans,Harparticoida
Carcinus_maenas,Harparticoida
Ostracoda,Harparticoida
Carcinus_maenas,Ostracoda
Polychaeta,Ostracoda
Palaemon_elegans,Ostracoda
