consumer,resource
fish_fry,fish_eggs
Lepomis_gibbosus,fish_eggs
Tropocyclops_prasinus,copepod_nauplii
Mesocyclops_edax,copepod_nauplii
Tropocyclops_prasinus,Diaptomus_minutus
Tropocyclops_prasinus,Daphnia_ambigua
Tropocyclops_prasinus,Mesocyclops_edax
Mesocyclops_edax,Diaptomus_minutus
Mesocyclops_edax,Daphnia_ambigua
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Tropocyclops_prasinus,Ceriodaphnia_quadrangula
Mesocyclops_edax,Tropocyclops_prasinus
Mesocyclops_edax,Ceriodaphnia_quadrangula
Salvelinus_fontinalis,Catostomus_commersoni
Tropocyclops_prasinus,Bosmina_longirostris
Mesocyclops_edax,Bosmina_longirostris
Tropocyclops_prasinus,Gastropus_stylifer
Tropocyclops_prasinus,Polyarthra_major
fish_fry,copepod_nauplii
Salvelinus_fontinalis,Ictalurus_nebulosus
Mesocyclops_edax,Gastropus_stylifer
Mesocyclops_edax,Polyarthra_major
Salvelinus_fontinalis,Semotilus_atromaculatus
Tropocyclops_prasinus,Polyarthra_remata
Salvelinus_fontinalis,Notemigonus_crysoleucas
Mesocyclops_edax,Polyarthra_remata
Lepomis_gibbosus,fish_fry
Salvelinus_fontinalis,Lepomis_gibbosus
Salvelinus_fontinalis,Chrosomus_eos
fish_fry,Holopedium_gibberum
fish_fry,Diaphanosoma_birgei
Tropocyclops_prasinus,Keratella_taurocephala
Mesocyclops_edax,Keratella_taurocephala
Chrosomus_eos,copepod_nauplii
Lepomis_gibbosus,copepod_nauplii
fish_fry,Diaptomus_minutus
fish_fry,Daphnia_ambigua
fish_fry,Mesocyclops_edax
fish_fry,Tropocyclops_prasinus
fish_fry,Ceriodaphnia_quadrangula
Semotilus_atromaculatus,copepod_nauplii
fish_fry,Bosmina_longirostris
fish_fry,Gastropus_stylifer
fish_fry,Polyarthra_major
Salvelinus_fontinalis,fish_fry
Chrosomus_eos,Holopedium_gibberum
Lepomis_gibbosus,Holopedium_gibberum
Chrosomus_eos,Diaphanosoma_birgei
Lepomis_gibbosus,Diaphanosoma_birgei
fish_fry,Polyarthra_remata
Chrosomus_eos,Diaptomus_minutus
Lepomis_gibbosus,Diaptomus_minutus
Semotilus_atromaculatus,Holopedium_gibberum
Chrosomus_eos,Daphnia_ambigua
Chrosomus_eos,Mesocyclops_edax
Lepomis_gibbosus,Daphnia_ambigua
Lepomis_gibbosus,Mesocyclops_edax
Semotilus_atromaculatus,Diaphanosoma_birgei
Chrosomus_eos,Tropocyclops_prasinus
Lepomis_gibbosus,Tropocyclops_prasinus
Chrosomus_eos,Ceriodaphnia_quadrangula
Lepomis_gibbosus,Ceriodaphnia_quadrangula
Semotilus_atromaculatus,Diaptomus_minutus
Semotilus_atromaculatus,Daphnia_ambigua
Semotilus_atromaculatus,Mesocyclops_edax
Chrosomus_eos,Bosmina_longirostris
Lepomis_gibbosus,Bosmina_longirostris
fish_fry,Keratella_taurocephala
Semotilus_atromaculatus,Tropocyclops_prasinus
Semotilus_atromaculatus,Ceriodaphnia_quadrangula
Chrosomus_eos,Gastropus_stylifer
Chrosomus_eos,Polyarthra_major
Lepomis_gibbosus,Gastropus_stylifer
Lepomis_gibbosus,Polyarthra_major
Semotilus_atromaculatus,Bosmina_longirostris
Chrosomus_eos,Polyarthra_remata
Lepomis_gibbosus,Polyarthra_remata
Semotilus_atromaculatus,Gastropus_stylifer
Semotilus_atromaculatus,Polyarthra_major
Semotilus_atromaculatus,Polyarthra_remata
Chrosomus_eos,Keratella_taurocephala
Lepomis_gibbosus,Keratella_taurocephala
Semotilus_atromaculatus,Keratella_taurocephala
Notemigonus_crysoleucas,copepod_nauplii
Notemigonus_crysoleucas,Holopedium_gibberum
Notemigonus_crysoleucas,Diaphanosoma_birgei
Notemigonus_crysoleucas,Diaptomus_minutus
Notemigonus_crysoleucas,Daphnia_ambigua
Notemigonus_crysoleucas,Mesocyclops_edax
Notemigonus_crysoleucas,Tropocyclops_prasinus
Notemigonus_crysoleucas,Ceriodaphnia_quadrangula
Notemigonus_crysoleucas,Bosmina_longirostris
Notemigonus_crysoleucas,Gastropus_stylifer
Notemigonus_crysoleucas,Polyarthra_major
Notemigonus_crysoleucas,Polyarthra_remata
Notemigonus_crysoleucas,Keratella_taurocephala
