consumer,resource
Lutra_lutra,Anguilla_anguilla
Lutra_lutra,Pholis_gunnellus
Lutra_lutra,Zoarces_viviparus
Lutra_lutra,Myoxocephalus_scorpius
Lutra_lutra,Salmo_trutta
Phalacrocorax_carbo,Anguilla_anguilla
Phalacrocorax_carbo,Pollachius_virens
Phalacrocorax_carbo,Ammodytes_tobianus
Phalacrocorax_carbo,Zoarces_viviparus
Phalacrocorax_carbo,Pomatoschistus_microps
Phalacrocorax_carbo,Platichthys_flesus
Phalacrocorax_carbo,Salmo_trutta
Ardea_cinerea,Anguilla_anguilla
Ardea_cinerea,Pollachius_virens
Ardea_cinerea,Ammodytes_tobianus
Ardea_cinerea,Pholis_gunnellus
Ardea_cinerea,Zoarces_viviparus
Ardea_cinerea,Pomatoschistus_microps
Ardea_cinerea,Myoxocephalus_scorpius
Ardea_cinerea,Platichthys_flesus
Ardea_cinerea,Salmo_trutta
Ardea_cinerea,Carcinus_maenas
Tadorna_tadorna,Carcinus_maenas
Tadorna_tadorna,Hydrobia_ulvae
Tadorna_tadorna,Ostracods
Tadorna_tadorna,Corophium_volutator
Tadorna_tadorna,Nereis_diversicolor
Tadorna_tadorna,Littorina_littorea
Tadorna_tadorna,Macoma_balthica
Tadorna_tadorna,Mytilus_edulis
Tadorna_tadorna,Cerastoderma_edule
Tadorna_tadorna,Acarina
Somateria_mollissima,Crangon_crangon
Somateria_mollissima,Carcinus_maenas
Somateria_mollissima,Littorina_littorea
Somateria_mollissima,Mytilus_edulis
Somateria_mollissima_(juvenile),Crangon_crangon
Somateria_mollissima_(juvenile),Hydrobia_ulvae
Somateria_mollissima_(juvenile),Corophium_volutator
Somateria_mollissima_(juvenile),Gammarus_spp.
Somateria_mollissima_(juvenile),Nereis_diversicolor
Somateria_mollissima_(juvenile),Littorina_littorea
Somateria_mollissima_(juvenile),Macoma_balthica
Somateria_mollissima_(juvenile),Mytilus_edulis
Haematopus_ostralegus,Hydrobia_ulvae
Haematopus_ostralegus,Corophium_volutator
Haematopus_ostralegus,Nereis_diversicolor
Haematopus_ostralegus,Littorina_littorea
Haematopus_ostralegus,Macoma_balthica
Haematopus_ostralegus,Mytilus_edulis
Charadrius_hiaticula,Neomysis_integer
Charadrius_hiaticula,Gammarus_spp.
Charadrius_hiaticula,Nereis_diversicolor
Charadrius_hiaticula,Littorina_littorea
Pluvialis_apricaria,Hydrobia_ulvae
Pluvialis_apricaria,Corophium_volutator
Pluvialis_apricaria,Gammarus_spp.
Pluvialis_apricaria,Nereis_diversicolor
Pluvialis_apricaria,Littorina_littorea
Pluvialis_squatarola,Corophium_volutator
Pluvialis_squatarola,Nereis_diversicolor
Vanellus_vanellus,Hydrobia_ulvae
Vanellus_vanellus,Nereis_diversicolor
Vanellus_vanellus,Macoma_balthica
Calidris_alpina,Corophium_volutator
Calidris_alpina,Nereis_diversicolor
Limosa_lapponica,Nereis_diversicolor
Numenius_arquata,Carcinus_maenas
Numenius_arquata,Hydrobia_ulvae
Numenius_arquata,Nereis_diversicolor
Numenius_arquata,Littorina_littorea
Tringa_totanus,Crangon_crangon
Tringa_totanus,Carcinus_maenas
Tringa_totanus,Hydrobia_ulvae
Tringa_totanus,Ostracods
Tringa_totanus,Corophium_volutator
Tringa_totanus,Gammarus_spp.
Tringa_totanus,Nereis_diversicolor
Tringa_totanus,Arenicola_marina
Tringa_totanus,Littorina_saxatilis
Tringa_totanus,Macoma_balthica
Tringa_totanus,Mytilus_edulis
Tringa_totanus,Chironomid_larvae
Arenaria_interpres,Corophium_volutator
Arenaria_interpres,Gammarus_spp.
Arenaria_interpres,Littorina_littorea
Larus_canus,Sprattus_sprattus
Larus_canus,Clupea_harengus
Larus_canus,Platichthys_flesus
Larus_canus,Carcinus_maenas
Larus_canus,Neomysis_integer
Larus_canus,Corophium_volutator
Larus_canus,Gammarus_spp.
Larus_canus,Nereis_diversicolor
Larus_canus,Littorina_littorea
Larus_ridibundus,Sprattus_sprattus
Larus_ridibundus,Clupea_harengus
Larus_ridibundus,Platichthys_flesus
Larus_ridibundus,Carcinus_maenas
Larus_ridibundus,Neomysis_integer
Larus_ridibundus,Corophium_volutator
Larus_ridibundus,Gammarus_spp.
Larus_ridibundus,Nereis_diversicolor
Larus_argentatus,Somateria_mollissima_(juvenile)
Larus_argentatus,Sprattus_sprattus
Larus_argentatus,Clupea_harengus
Larus_argentatus,Pholis_gunnellus
Larus_argentatus,Platichthys_flesus
Larus_argentatus,Salmo_trutta
Larus_argentatus,Carcinus_maenas
Larus_argentatus,Littorina_littorea
Larus_argentatus,Mytilus_edulis
Larus_argentatus,Cerastoderma_edule
Larus_marinus,Sprattus_sprattus
Larus_marinus,Clupea_harengus
Larus_marinus,Platichthys_flesus
Larus_marinus,Carcinus_maenas
Larus_marinus,Mytilus_edulis
Larus_marinus,Cerastoderma_edule
Sterna_Sandvicensis,Sprattus_sprattus
Sterna_Sandvicensis,Clupea_harengus
Sterna_Sandvicensis,Ammodytes_tobianus
Sterna_Sandvicensis,Zoarces_viviparus
Sterna_Sandvicensis,Platichthys_flesus_(juvenile)
Sterna_hirundo,Sprattus_sprattus
Sterna_hirundo,Clupea_harengus
Sterna_hirundo,Anguilla_anguilla
Sterna_hirundo,Ammodytes_tobianus
Sterna_hirundo,Crangon_crangon
Sterna_paradisaea,Sprattus_sprattus
Sterna_paradisaea,Clupea_harengus
Sterna_paradisaea,Ammodytes_tobianus
Corvus_frugilegus,Carcinus_maenas
Corvus_frugilegus,Littorina_littorea
Corvus_frugilegus,Littorina_saxatilis
Corvus_frugilegus,Macoma_balthica
Corvus_corone,Carcinus_maenas
Corvus_corone,Hydrobia_ulvae
Corvus_corone,Littorina_saxatilis
Corvus_corone,Mytilus_edulis
Sprattus_sprattus,Calanoid_copepods
Clupea_harengus,Calanoid_copepods
Anguilla_anguilla,Crangon_crangon
Anguilla_anguilla,Neomysis_integer
Anguilla_anguilla,Corophium_volutator
Anguilla_anguilla,Gammarus_spp.
Anguilla_anguilla,Jaera_marina
Anguilla_anguilla,Nereis_diversicolor
Syngnathus_rostellatus,Calanoid_copepods
Syngnathus_rostellatus,Harpacticoid_copepods
Syngnathus_rostellatus,Semibalanus_balanoides
Pollachius_virens,Pomatoschistus_microps
Pollachius_virens,Crangon_crangon
Pollachius_virens,Carcinus_maenas
Pollachius_virens,Ostracods
Pollachius_virens,Semibalanus_balanoides
Pollachius_virens,Neomysis_integer
Pollachius_virens,Corophium_volutator
Pollachius_virens,Gammarus_spp.
Pollachius_virens,Nereis_diversicolor
Ciliata_mustela,Carcinus_maenas
Ciliata_mustela,Gammarus_spp.
Ammodytes_tobianus,Hydrobia_ulvae
Ammodytes_tobianus,Calanoid_copepods
Ammodytes_tobianus,Harpacticoid_copepods
Ammodytes_tobianus,Semibalanus_balanoides
Ammodytes_tobianus,Neomysis_integer
Ammodytes_tobianus,Gammarus_spp.
Ammodytes_tobianus,Jaera_marina
Ammodytes_tobianus,Pygospio_elegans
Ammodytes_tobianus,Mytilus_edulis
Pholis_gunnellus,Crangon_crangon
Pholis_gunnellus,Carcinus_maenas
Pholis_gunnellus,Ostracods
Pholis_gunnellus,Harpacticoid_copepods
Pholis_gunnellus,Semibalanus_balanoides
Pholis_gunnellus,Neomysis_integer
Pholis_gunnellus,Corophium_volutator
Pholis_gunnellus,Gammarus_spp.
Pholis_gunnellus,Jaera_marina
Pholis_gunnellus,Nematodes
Pholis_gunnellus,Nereis_diversicolor
Pholis_gunnellus,Littorina_saxatilis
Pholis_gunnellus,Mytilus_edulis
Pholis_gunnellus,Chironomid_larvae
Zoarces_viviparus,Crangon_crangon
Zoarces_viviparus,Hydrobia_ulvae
Zoarces_viviparus,Ostracods
Zoarces_viviparus,Harpacticoid_copepods
Zoarces_viviparus,Semibalanus_balanoides
Zoarces_viviparus,Corophium_volutator
Zoarces_viviparus,Gammarus_spp.
Zoarces_viviparus,Jaera_marina
Zoarces_viviparus,Nereis_diversicolor
Zoarces_viviparus,Pygospio_elegans
Zoarces_viviparus,Capitellidae
Zoarces_viviparus,Mytilus_edulis
Zoarces_viviparus,Foraminifera
Pomatoschistus_minutus,Crangon_crangon
Pomatoschistus_minutus,Hyale_nilssoni
Pomatoschistus_minutus,Carcinus_maenas
Pomatoschistus_minutus,Hydrobia_ulvae
Pomatoschistus_minutus,Harpacticoid_copepods
Pomatoschistus_minutus,Neomysis_integer
Pomatoschistus_minutus,Corophium_volutator
Pomatoschistus_minutus,Gammarus_spp.
Pomatoschistus_minutus,Jaera_marina
Pomatoschistus_minutus,Nereis_diversicolor
Pomatoschistus_minutus,Pygospio_elegans
Pomatoschistus_minutus,Tubificoides_benedeni
Pomatoschistus_minutus,Mytilus_edulis
Pomatoschistus_minutus,Chironomid_larvae
Pomatoschistus_minutus,Foraminifera
Pomatoschistus_microps,Pomatoschistus_minutus
Pomatoschistus_microps,Pomatoschistus_microps
Pomatoschistus_microps,Crangon_crangon
Pomatoschistus_microps,Hyale_nilssoni
Pomatoschistus_microps,Carcinus_maenas
Pomatoschistus_microps,Hydrobia_ulvae
Pomatoschistus_microps,Harpacticoid_copepods
Pomatoschistus_microps,Semibalanus_balanoides
Pomatoschistus_microps,Neomysis_integer
Pomatoschistus_microps,Corophium_volutator
Pomatoschistus_microps,Gammarus_spp.
Pomatoschistus_microps,Jaera_marina
Pomatoschistus_microps,Nototropis_spp.
Pomatoschistus_microps,Nereis_diversicolor
Pomatoschistus_microps,Pygospio_elegans
Pomatoschistus_microps,Manayunkia_aestuarina
Pomatoschistus_microps,Arenicola_marina
Pomatoschistus_microps,Mytilus_edulis
Pomatoschistus_microps,Chironomid_larvae
Pomatoschistus_microps,Acarina
Pomatoschistus_microps,Foraminifera
Myoxocephalus_scorpius,Pomatoschistus_microps
Myoxocephalus_scorpius,Crangon_crangon
Myoxocephalus_scorpius,Carcinus_maenas
Myoxocephalus_scorpius,Calanoid_copepods
Myoxocephalus_scorpius,Semibalanus_balanoides
Myoxocephalus_scorpius,Neomysis_integer
Myoxocephalus_scorpius,Corophium_volutator
Myoxocephalus_scorpius,Gammarus_spp.
Agonus_cataphractus,Crangon_crangon
Agonus_cataphractus,Gammarus_spp.
Gasterosteus_aculeatus,Crangon_crangon
Gasterosteus_aculeatus,Calanoid_copepods
Gasterosteus_aculeatus,Semibalanus_balanoides
Gasterosteus_aculeatus,Neomysis_integer
Gasterosteus_aculeatus,Corophium_volutator
Gasterosteus_aculeatus,Gammarus_spp.
Gasterosteus_aculeatus,Nereis_diversicolor
Pleuronectes_platessa,Crangon_crangon
Pleuronectes_platessa,Hydrobia_ulvae
Pleuronectes_platessa,Harpacticoid_copepods
Pleuronectes_platessa,Semibalanus_balanoides
Pleuronectes_platessa,Neomysis_integer
Pleuronectes_platessa,Corophium_volutator
Pleuronectes_platessa,Gammarus_spp.
Pleuronectes_platessa,Jaera_marina
Pleuronectes_platessa,Nereis_diversicolor
Pleuronectes_platessa,Pygospio_elegans
Pleuronectes_platessa,Capitellidae
Pleuronectes_platessa,Manayunkia_aestuarina
Pleuronectes_platessa,Tubificoides_benedeni
Pleuronectes_platessa,Mytilus_edulis
Pleuronectes_platessa,Cerastoderma_edule
Pleuronectes_platessa,Foraminifera
Platichthys_flesus,Sprattus_sprattus
Platichthys_flesus,Clupea_harengus
Platichthys_flesus,Ammodytes_tobianus
Platichthys_flesus,Pomatoschistus_microps
Platichthys_flesus,Myoxocephalus_scorpius
Platichthys_flesus,Pleuronectes_platessa
Platichthys_flesus,Platichthys_flesus
Platichthys_flesus,Crangon_crangon
Platichthys_flesus,Carcinus_maenas
Platichthys_flesus,Hydrobia_ulvae
Platichthys_flesus,Harpacticoid_copepods
Platichthys_flesus,Semibalanus_balanoides
Platichthys_flesus,Neomysis_integer
Platichthys_flesus,Mya_arenaria
Platichthys_flesus,Talitrus_saltator
Platichthys_flesus,Corophium_volutator
Platichthys_flesus,Bathyporeia_pilosa
Platichthys_flesus,Gammarus_spp.
Platichthys_flesus,Idotea_emarginata
Platichthys_flesus,Eurydice_pulchra
Platichthys_flesus,Nereis_virens
Platichthys_flesus,Nereis_diversicolor
Platichthys_flesus,Hesionidae
Platichthys_flesus,Parathemisto_spp.
Platichthys_flesus,Phyllodoce
Platichthys_flesus,Eteone
Platichthys_flesus,Pygospio_elegans
Platichthys_flesus,Capitellidae
Platichthys_flesus,Manayunkia_aestuarina
Platichthys_flesus,Aricia_spp.
Platichthys_flesus,Arenicola_marina
Platichthys_flesus,Tubificoides_benedeni
Platichthys_flesus,Tubifex_costatus
Platichthys_flesus,Littorina_littorea
Platichthys_flesus,Alderia_modesta
Platichthys_flesus,Retusa_obtusa
Platichthys_flesus,Macoma_balthica
Platichthys_flesus,Mytilus_edulis
Platichthys_flesus,Cerastoderma_edule
Platichthys_flesus,Chironomid_larvae
