consumer,resource,NA,NA,NA,NA
Anguilla_anguilla,species,adults,90,marine,3
Pholis_gunnellus,species,adults,85,marine,3
Zoarces_viviparus,species,adults,1.5,marine,3
Myoxocephalus_scorpius,species,adults,15,marine,3
Salmo_trutta,species,adults,480,marine,3
Anguilla_anguilla,species,adults,90,marine,2
Pollachius_virens,species,adults,125,marine,2
Ammodytes_tobianus,species,adults,2,marine,2
Zoarces_viviparus,species,adults,1.5,marine,2
Pomatoschistus_microps,species,adults,6204,marine,2
Platichthys_flesus,species,adults,125,marine,2
Salmo_trutta,species,adults,480,marine,2
Pholis_gunnellus,species,adults,85,marine,2
Myoxocephalus_scorpius,species,adults,15,marine,2
Carcinus_maenas,species,adults,10,marine,2
Hydrobia_ulvae,species,adults,0.001343284,marine,2
Ostracods,class,adults,6.82e-6,marine,3
Corophium_volutator,species,adults,0.009090909,marine,2
Nereis_diversicolor,species,adults,0.125,marine,3
Littorina_littorea,species,adults,0.09,marine,2
Macoma_balthica,species,adults,0.07,marine,2
Mytilus_edulis,species,adults,0.4,marine,2
Cerastoderma_edule,species,adults,0.5,marine,2
Acarina,class,adults,4.35e-5,marine,2
Crangon_crangon,species,adults,2.263157895,marine,3
Gammarus_spp.,species,adults,0.029545455,marine,3
Nereis_diversicolor,species,adults,0.125,marine,2
Neomysis_integer,species,adults,0.15625,marine,2
Gammarus_spp.,species,adults,0.029545455,marine,2
Crangon_crangon,species,adults,2.263157895,marine,2
Ostracods,class,adults,6.82e-6,marine,2
Arenicola_marina,species,adults,0.166666667,marine,2
Littorina_saxatilis,species,adults,0.016,marine,2
Chironomid_larvae,family,larvae,1.05263e-4,marine,2
Sprattus_sprattus,species,adults,3,marine,2
Clupea_harengus,species,adults,5,marine,2
Somateria_mollissima_(juvenile),species,juveniles,700,marine,2
Platichthys_flesus_(juvenile),species,juveniles,27,marine,2
Calanoid_copepods,NA,adults,6.82e-6,marine,3
Neomysis_integer,species,adults,0.15625,marine,3
Jaera_marina,species,adults,0.013636364,marine,3
Harpacticoid_copepods,NA,adults,6.82e-6,marine,3
Semibalanus_balanoides,species,adults,3.92e-6,marine,2
Pomatoschistus_microps,species,adults,6204,marine,3
Pygospio_elegans,species,adults,4.16667e-4,marine,2
Nematodes,NA,adults,1.30435e-4,marine,3
Chironomid_larvae,family,larvae,1.05263e-4,marine,3
Capitellidae,family,adults,4.16667e-4,marine,2
Foraminifera,NA,adults,1.25e-5,marine,3
Hyale_nilssoni,species,adults,0.022727273,marine,3
Tubificoides_benedeni,species,adults,0.011111111,marine,2
Pomatoschistus_minutus,species,adults,6204,marine,3
Nototropis_spp.,genus,adults,0.022727273,marine,3
Manayunkia_aestuarina,species,adults,2.08333e-4,marine,2
Sprattus_sprattus,species,adults,3,marine,3
Clupea_harengus,species,adults,5,marine,3
Ammodytes_tobianus,species,adults,2,marine,3
Pleuronectes_platessa,species,adults,27,marine,3
Platichthys_flesus,species,adults,125,marine,3
Mya_arenaria,species,adults,0.666666667,marine,2
Talitrus_saltator,species,adults,0.031818182,marine,2
Bathyporeia_pilosa,species,adults,0.009090909,marine,3
Idotea_emarginata,species,adults,0.022727273,marine,3
Eurydice_pulchra,species,adults,0.018181818,marine,3
Nereis_virens,species,adults,1.25,marine,3
Hesionidae,family,adults,0.01875,marine,2
Parathemisto_spp.,genus,adults,0.00625,marine,3
Phyllodoce,genus,adults,1.25,marine,2
Eteone,genus,adults,0.625,marine,2
Aricia_spp.,genus,adults,1.25e-4,marine,2
Tubifex_costatus,species,adults,5.55556e-4,marine,2
Alderia_modesta,species,adults,0.001,marine,2
Retusa_obtusa,species,adults,8e-4,marine,2
Diptera_larvae/pupae,NA,adults,0.010526316,marine,2
Jaera_marina,species,adults,0.013636364,marine,2
Nematodes,NA,adults,1.30435e-4,marine,2
Nereis_virens,species,adults,1.25,marine,2
Lutra_lutra,species,adults,12000,marine,3
Phalacrocorax_carbo,species,adults,2250,marine,2
Ardea_cinerea,species,adults,1097,marine,2
Tadorna_tadorna,species,adults,1112,marine,2
Tadorna_tadorna,species,adults,1112,marine,3
Somateria_mollissima,species,adults,2150,marine,3
Somateria_mollissima,species,adults,2150,marine,2
Somateria_mollissima_(juvenile),species,juveniles,700,marine,3
Haematopus_ostralegus,species,adults,540,marine,2
Charadrius_hiaticula,species,adults,63,marine,2
Pluvialis_apricaria,species,adults,180,marine,2
Pluvialis_squatarola,species,adults,227,marine,2
Vanellus_vanellus,species,adults,243,marine,2
Calidris_alpina,species,adults,48,marine,2
Limosa_lapponica,species,adults,301,marine,2
Numenius_arquata,species,adults,725,marine,2
Tringa_totanus,species,adults,117,marine,2
Arenaria_interpres,species,adults,110,marine,2
Larus_canus,species,adults,386,marine,2
Larus_ridibundus,species,adults,180,marine,2
Larus_argentatus,species,adults,885,marine,2
Larus_marinus,species,adults,1330,marine,2
Sterna_Sandvicensis,species,adults,230,marine,2
Sterna_hirundo,species,adults,126,marine,2
Sterna_paradisaea,species,adults,110,marine,2
